yil,ulke,sanatci,sarki,yari_final_no,final_cikis_sirasi,final_sira,final_puan,tele_puan_final,juri_puan_final,yarifinal_cikis_sirasi,yarifinal_sira,yarifinal_puan,finale_kaldı,ev_sahibi,ev_sahibi_ulke,ev_sahibi_uzaklik_km,ilk_10
2000,Danimarka,Olsen brothers,Fly On The Wings Of Love,,14.0,1.0,195.0,,,,,,True,False,,,True
2000,Rusya,Alsou,Solo,,9.0,2.0,155.0,,,,,,True,False,,,True
2000,Letonya,BrainStorm,My Star,,21.0,3.0,136.0,,,,,,True,False,,,True
2000,Estonya,Ines,Once In A Lifetime,,4.0,4.0,98.0,,,,,,True,False,,,True
2000,Almanya,Stefan Raab,Wadde Hadde Dudde Da,,15.0,5.0,96.0,,,,,,True,False,,,True
2000,İrlanda,Eamonn Toal,Millennium Of Love,,23.0,6.0,92.0,,,,,,True,False,,,True
2000,İsveç,Roger Pontare,When Spirits Are Calling My Name,,18.0,7.0,88.0,,,,,,True,False,,,True
2000,Malta,Claudette Pace,Desire,,7.0,8.0,73.0,,,,,,True,False,,,True
2000,Hırvatistan,Goran Karan,Kada Zaspu Andeli,,17.0,9.0,70.0,,,,,,True,False,,,True
2000,Türkiye,Pinar Ayhan & S.O.S. band,Yorgunum Anla,,22.0,10.0,59.0,,,,,,True,False,,,True
2000,Norveç,Charmed,My Heart Goes Boom,,8.0,11.0,57.0,,,,,,True,False,,,False
2000,İzlanda,August & Telma,Tell Me!,,12.0,12.0,45.0,,,,,,True,False,,,False
2000,Hollanda,Linda Wagenmakers,No Goodbyes,,2.0,13.0,40.0,,,,,,True,False,,,False
2000,Avusturya,The rounder girls,All To You,,24.0,14.0,34.0,,,,,,True,False,,,False
2000,Kuzey Makedonya,XXL,100% Te Ljubam,,19.0,15.0,29.0,,,,,,True,False,,,False
2000,Birleşik Krallık,Nicki French,Don't Play That Song Again,,3.0,16.0,28.0,,,,,,True,False,,,False
2000,Romanya,Taxi,The Moon,,6.0,17.0,25.0,,,,,,True,False,,,False
2000,İspanya,Serafín Zubiri,Colgado De Un Sueño,,13.0,18.0,18.0,,,,,,True,False,,,False
2000,Finlandiya,Nina Åström,A Little Bit,,20.0,18.0,18.0,,,,,,True,False,,,False
2000,İsviçre,Jane Bogaert,La Vita Cos'è?,,16.0,20.0,14.0,,,,,,True,False,,,False
2000,Kıbrıs,Voice,Nomiza,,11.0,21.0,8.0,,,,,,True,False,,,False
2000,İsrail,Ping Pong,Sa'me'akh,,1.0,22.0,7.0,,,,,,True,False,,,False
2000,Fransa,Sofia Mestari,On Aura Le Ciel,,5.0,23.0,5.0,,,,,,True,False,,,False
2000,Belçika,Nathalie Sorce,Envie De Vivre,,10.0,24.0,2.0,,,,,,True,False,,,False
2001,Estonya,"Tanel Padar, Dave Benton & 2XL",Everybody,,20.0,1.0,198.0,,,,,,True,False,Danimarka,836.4151854032597,True
2001,Danimarka,Rollo & King,Never Ever Let You Go,,23.0,2.0,177.0,,,,,,True,True,Danimarka,0.0,True
2001,Yunanistan,Antique,Die For You,,22.0,3.0,147.0,,,,,,True,False,Danimarka,2137.237204258878,True
2001,Fransa,Natasha Saint-Pier,Je N'ai Que Mon âme,,14.0,4.0,142.0,,,,,,True,False,Danimarka,1026.8707774503553,True
2001,İsveç,Friends,Listen To Your Heartbeat,,7.0,5.0,100.0,,,,,,True,False,Danimarka,521.8283543394244,True
2001,İspanya,David Civera,Dile Que La Quiero,,13.0,6.0,76.0,,,,,,True,False,Danimarka,2072.5578522192986,True
2001,Slovenya,Nua Derenda,Energy,,17.0,7.0,70.0,,,,,,True,False,Danimarka,1078.2107187771142,True
2001,Almanya,Michelle,Wer Liebe Lebt,,19.0,8.0,66.0,,,,,,True,False,Danimarka,355.51192912991974,True
2001,Malta,Fabrizio Faniello,Another Summer Night,,21.0,9.0,48.0,,,,,,True,False,Danimarka,2204.3586396987253,True
2001,Hırvatistan,Vanna,Strings Of My Heart,,10.0,10.0,42.0,,,,,,True,False,Danimarka,1123.0611498651906,True
2001,Türkiye,Sedat Yüce,Sevgiliye Son,,15.0,11.0,41.0,,,,,,True,False,Danimarka,2298.42167055678,False
2001,Rusya,Mumiy troll,Lady Alpine Blue,,6.0,12.0,37.0,,,,,,True,False,Danimarka,1560.5111659685604,False
2001,Litvanya,Skamp,You Got Style,,8.0,13.0,35.0,,,,,,True,False,Danimarka,813.1829680331438,False
2001,Bosna-Hersek,Nino,Hano,,3.0,14.0,29.0,,,,,,True,False,Danimarka,1378.4092673026469,False
2001,Birleşik Krallık,Lindsay D.,No Dream Impossible,,16.0,15.0,28.0,,,,,,True,False,Danimarka,955.7973969875035,False
2001,İsrail,Tal Sondak,Ein Davar,,5.0,16.0,25.0,,,,,,True,False,Danimarka,3189.4011457734427,False
2001,Portekiz,MTM,Só Sei Ser Feliz Assim,,11.0,17.0,18.0,,,,,,True,False,Danimarka,2477.5522521352623,False
2001,Hollanda,Michelle,Out On My Own,,1.0,18.0,16.0,,,,,,True,False,Danimarka,621.0904596243221,False
2001,Letonya,Arnis Mednis,Too Much,,9.0,18.0,16.0,,,,,,True,False,Danimarka,724.6378577885721,False
2001,Polonya,Piasek,2 Long,,18.0,20.0,11.0,,,,,,True,False,Danimarka,671.6718011785741,False
2001,İrlanda,Gary O'Shaughnessy,Without Your Love,,12.0,21.0,6.0,,,,,,True,False,Danimarka,1238.614770014609,False
