yil,oy_veren_ulke,oy_alan_ulke,puan,tele_puan,juri_puan,uzaklik_km
2000,Avusturya,Danimarka,10,,,870.170886635871
2000,Avusturya,Rusya,7,,,1669.7220461815668
2000,Avusturya,Letonya,8,,,1102.0296107786755
2000,Avusturya,Estonya,3,,,1361.9979291534205
2000,Avusturya,Almanya,12,,,523.3943469636869
2000,Avusturya,İrlanda,4,,,1681.9842398055919
2000,Avusturya,İsveç,0,,,1241.420198640462
2000,Avusturya,Malta,2,,,1377.2828665961958
2000,Avusturya,Hırvatistan,6,,,268.5000007646718
2000,Avusturya,Türkiye,5,,,1601.8607181440389
2000,Avusturya,Norveç,0,,,1350.5063527057657
2000,Avusturya,İzlanda,0,,,2882.1000684058968
2000,Avusturya,Hollanda,0,,,935.4649215673201
2000,Avusturya,Kuzey Makedonya,0,,,797.1283288266336
2000,Avusturya,Birleşik Krallık,0,,,1235.2737426193505
2000,Avusturya,Romanya,0,,,856.3991029569814
2000,Avusturya,İspanya,0,,,1808.8983281857752
2000,Avusturya,Finlandiya,0,,,1439.2547692465528
2000,Avusturya,İsviçre,1,,,683.1589421719332
2000,Avusturya,Kıbrıs,0,,,2014.2285611353925
2000,Avusturya,İsrail,0,,,2418.9346542298367
2000,Avusturya,Fransa,0,,,1033.3346223073381
2000,Avusturya,Belçika,0,,,914.572697742132
2000,Belçika,Danimarka,10,,,765.4126439969357
2000,Belçika,Rusya,7,,,2253.2843962202346
2000,Belçika,Letonya,12,,,1454.19721107928
2000,Belçika,Estonya,2,,,1599.5026288418783
2000,Belçika,Almanya,6,,,650.4418546880279
2000,Belçika,İrlanda,4,,,775.2843833927938
2000,Belçika,İsveç,5,,,1280.2270909991032
2000,Belçika,Malta,1,,,1850.0874076822597
2000,Belçika,Hırvatistan,0,,,1024.4879215211834
2000,Belçika,Türkiye,3,,,2513.4587106670365
2000,Belçika,Norveç,0,,,1084.3291672127093
2000,Belçika,İzlanda,0,,,2122.4455357004895
2000,Belçika,Hollanda,8,,,173.22943527194417
2000,Belçika,Avusturya,0,,,914.572697742132
2000,Belçika,Kuzey Makedonya,0,,,1631.9664969586743
2000,Belçika,Birleşik Krallık,0,,,320.7313563405555
2000,Belçika,Romanya,0,,,1770.5274099467795
2000,Belçika,İspanya,0,,,1316.0461199456327
2000,Belçika,Finlandiya,0,,,1647.816954723723
2000,Belçika,İsviçre,0,,,489.1867186146511
2000,Belçika,Kıbrıs,0,,,2902.0938188929854
2000,Belçika,İsrail,0,,,3296.6140824389577
2000,Belçika,Fransa,0,,,263.6470502922094
2000,Hırvatistan,Danimarka,0,,,1123.0611498651906
2000,Hırvatistan,Rusya,12,,,1867.6307956523037
2000,Hırvatistan,Letonya,0,,,1358.9405974614897
2000,Hırvatistan,Estonya,6,,,1623.8245652590779
2000,Hırvatistan,Almanya,1,,,769.204688667908
2000,Hırvatistan,İrlanda,5,,,1798.9324640292389
2000,Hırvatistan,İsveç,0,,,1509.7875637990867
2000,Hırvatistan,Malta,8,,,1108.7995888734406
2000,Hırvatistan,Türkiye,0,,,1519.05699542105
2000,Hırvatistan,Norveç,0,,,1605.4552770811124
2000,Hırvatistan,İzlanda,0,,,3078.7293601735764
2000,Hırvatistan,Hollanda,2,,,1085.514351465549
2000,Hırvatistan,Avusturya,0,,,268.5000007646718
2000,Hırvatistan,Kuzey Makedonya,10,,,608.9034250856465
2000,Hırvatistan,Birleşik Krallık,4,,,1338.2531246558517
2000,Hırvatistan,Romanya,7,,,808.1397053303891
2000,Hırvatistan,İspanya,0,,,1700.7066842176196
2000,Hırvatistan,Finlandiya,0,,,1702.0519519144254
2000,Hırvatistan,İsviçre,0,,,666.147492580204
2000,Hırvatistan,Kıbrıs,3,,,1879.6542311554674
2000,Hırvatistan,İsrail,0,,,2272.181057003228
2000,Hırvatistan,Fransa,0,,,1079.90315961657
2000,Hırvatistan,Belçika,0,,,1024.4879215211834
2000,Kıbrıs,Danimarka,4,,,2775.4415560856755
2000,Kıbrıs,Rusya,12,,,2311.318723139905
2000,Kıbrıs,Letonya,1,,,2519.4958571076313
2000,Kıbrıs,Estonya,6,,,2770.407908086719
2000,Kıbrıs,Almanya,0,,,2489.4880241818814
