tarih,sicaklik_max,sicaklik_min,sicaklik_ort,yagis,ruzgar_max,yil,ay,gun,hafta_gunu,mevsim,il
2020-01-01,7.0,0.1,2.9,0.0,8.9,2020,1,1,Wednesday,Kış,Malatya
2020-01-02,4.2,-0.7,2.1,0.5,4.0,2020,1,2,Thursday,Kış,Malatya
2020-01-03,2.9,1.8,2.2,6.5,5.6,2020,1,3,Friday,Kış,Malatya
2020-01-04,4.4,1.3,2.4,4.6,6.0,2020,1,4,Saturday,Kış,Malatya
2020-01-05,2.2,0.6,1.2,10.6,10.1,2020,1,5,Sunday,Kış,Malatya
2020-01-06,4.2,-0.7,1.8,0.3,4.9,2020,1,6,Monday,Kış,Malatya
2020-01-07,5.2,2.4,3.4,9.6,8.9,2020,1,7,Tuesday,Kış,Malatya
2020-01-08,2.6,1.3,1.9,9.9,4.8,2020,1,8,Wednesday,Kış,Malatya
2020-01-09,4.6,-1.0,2.2,0.2,7.3,2020,1,9,Thursday,Kış,Malatya
2020-01-10,3.5,-3.2,-0.3,0.0,9.5,2020,1,10,Friday,Kış,Malatya
2020-01-11,4.6,-3.2,-0.2,0.0,8.4,2020,1,11,Saturday,Kış,Malatya
2020-01-12,5.5,-0.9,2.4,0.0,9.6,2020,1,12,Sunday,Kış,Malatya
2020-01-13,4.1,-2.0,1.4,0.0,15.6,2020,1,13,Monday,Kış,Malatya
2020-01-14,3.5,-2.5,0.1,0.0,5.8,2020,1,14,Tuesday,Kış,Malatya
2020-01-15,5.7,-2.2,0.8,0.0,6.6,2020,1,15,Wednesday,Kış,Malatya
2020-01-16,4.3,-2.5,0.5,0.0,5.4,2020,1,16,Thursday,Kış,Malatya
2020-01-17,0.6,-1.1,-0.4,6.3,4.8,2020,1,17,Friday,Kış,Malatya
2020-01-18,2.7,-3.0,-0.8,0.0,9.0,2020,1,18,Saturday,Kış,Malatya
2020-01-19,1.7,-3.5,-0.9,3.9,6.9,2020,1,19,Sunday,Kış,Malatya
2020-01-20,2.3,-1.1,0.6,2.7,6.6,2020,1,20,Monday,Kış,Malatya
2020-01-21,4.6,-2.4,1.1,0.0,11.9,2020,1,21,Tuesday,Kış,Malatya
2020-01-22,3.1,-3.2,-0.8,0.0,12.2,2020,1,22,Wednesday,Kış,Malatya
2020-01-23,4.4,-3.1,0.1,0.0,8.7,2020,1,23,Thursday,Kış,Malatya
2020-01-24,0.9,-5.2,-2.2,0.0,16.3,2020,1,24,Friday,Kış,Malatya
2020-01-25,2.5,-5.7,-2.2,0.0,10.1,2020,1,25,Saturday,Kış,Malatya
2020-01-26,7.9,-3.1,1.6,0.0,8.7,2020,1,26,Sunday,Kış,Malatya
2020-01-27,6.6,-1.0,2.7,0.0,7.9,2020,1,27,Monday,Kış,Malatya
2020-01-28,5.7,0.8,2.8,0.0,5.2,2020,1,28,Tuesday,Kış,Malatya
2020-01-29,3.9,0.4,1.8,0.8,4.7,2020,1,29,Wednesday,Kış,Malatya
2020-01-30,5.3,1.8,3.0,4.5,5.1,2020,1,30,Thursday,Kış,Malatya
2020-01-31,3.6,-0.6,1.7,15.4,18.1,2020,1,31,Friday,Kış,Malatya
2020-02-01,3.1,-3.6,-0.7,0.0,18.2,2020,2,1,Saturday,Kış,Malatya
2020-02-02,6.0,-1.8,1.7,0.0,9.7,2020,2,2,Sunday,Kış,Malatya
2020-02-03,5.1,-0.9,1.8,0.0,8.3,2020,2,3,Monday,Kış,Malatya
2020-02-04,7.0,-0.8,2.6,1.1,8.6,2020,2,4,Tuesday,Kış,Malatya
2020-02-05,5.8,2.3,3.8,2.9,4.8,2020,2,5,Wednesday,Kış,Malatya
2020-02-06,7.9,4.2,6.2,4.2,8.5,2020,2,6,Thursday,Kış,Malatya
2020-02-07,8.0,3.9,6.3,5.6,10.0,2020,2,7,Friday,Kış,Malatya
2020-02-08,3.2,-6.8,-0.5,5.4,21.7,2020,2,8,Saturday,Kış,Malatya
2020-02-09,-4.4,-9.3,-7.1,0.0,22.5,2020,2,9,Sunday,Kış,Malatya
2020-02-10,-3.7,-8.7,-6.9,0.0,17.1,2020,2,10,Monday,Kış,Malatya
2020-02-11,-1.5,-9.2,-5.8,0.0,7.3,2020,2,11,Tuesday,Kış,Malatya
2020-02-12,-0.2,-5.1,-3.2,2.6,6.6,2020,2,12,Wednesday,Kış,Malatya
2020-02-13,-3.4,-6.9,-4.6,10.9,11.3,2020,2,13,Thursday,Kış,Malatya
2020-02-14,-2.5,-9.5,-5.8,0.0,9.9,2020,2,14,Friday,Kış,Malatya
2020-02-15,-4.3,-7.0,-5.6,1.0,4.2,2020,2,15,Saturday,Kış,Malatya
2020-02-16,-1.1,-4.5,-2.9,0.2,5.1,2020,2,16,Sunday,Kış,Malatya
2020-02-17,0.5,-3.8,-0.9,0.0,6.9,2020,2,17,Monday,Kış,Malatya
2020-02-18,1.1,-0.4,0.1,0.4,4.0,2020,2,18,Tuesday,Kış,Malatya
2020-02-19,2.6,0.4,1.4,0.0,5.4,2020,2,19,Wednesday,Kış,Malatya
2020-02-20,5.0,0.7,2.2,0.0,8.7,2020,2,20,Thursday,Kış,Malatya
2020-02-21,6.3,1.4,3.1,0.5,6.2,2020,2,21,Friday,Kış,Malatya
2020-02-22,8.4,2.1,4.6,2.6,7.4,2020,2,22,Saturday,Kış,Malatya
2020-02-23,9.0,2.1,4.8,0.3,5.2,2020,2,23,Sunday,Kış,Malatya
2020-02-24,8.8,3.3,5.5,0.0,5.0,2020,2,24,Monday,Kış,Malatya
2020-02-25,8.1,0.1,5.2,1.0,18.2,2020,2,25,Tuesday,Kış,Malatya
2020-02-26,9.9,-0.5,4.6,0.0,9.2,2020,2,26,Wednesday,Kış,Malatya
2020-02-27,11.1,3.8,6.7,0.0,5.4,2020,2,27,Thursday,Kış,Malatya
2020-02-28,12.1,3.9,7.8,0.0,10.0,2020,2,28,Friday,Kış,Malatya
2020-02-29,8.9,3.3,6.7,2.9,6.9,2020,2,29,Saturday,Kış,Malatya
2020-03-01,10.6,1.8,5.9,0.6,19.6,2020,3,1,Sunday,İlkbahar,Malatya
