aday_id,yorunge_periyodu_gun,transit_suresi_saat,transit_derinligi_ppm,gezegen_yaricap_dunya,yildiz_sicakligi_K,yildiz_yaricap_gunes,denge_sicakligi_K,sinyal_gurultu_orani,yasanabilir_bolge,gercek_gezegen,durum
K00752.01,9.48803557,2.9575,615.8,2.26,5455.0,0.927,793.0,35.8,False,True,Gerçek Gezegen
K00752.02,54.4183827,4.507,874.8,2.83,5455.0,0.927,443.0,25.8,False,True,Gerçek Gezegen
K00754.01,1.736952453,2.40641,8079.2,33.46,5805.0,0.791,1395.0,505.6,False,False,Yanlış Pozitif
K00755.01,2.525591777,1.6545,603.3,2.75,6031.0,1.046,1406.0,40.9,False,True,Gerçek Gezegen
K00756.01,11.09432054,4.5945,1517.5,3.9,6046.0,0.972,835.0,66.5,False,True,Gerçek Gezegen
K00756.02,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1160.0,40.2,False,True,Gerçek Gezegen
K00756.03,2.56658897,2.429,226.5,1.59,6046.0,0.972,1360.0,15.0,False,True,Gerçek Gezegen
K00114.01,7.36178958,5.022,233.7,39.21,6227.0,1.958,1342.0,47.7,False,False,Yanlış Pozitif
K00757.01,16.06864674,3.5347,4914.3,5.76,5031.0,0.848,600.0,161.9,False,True,Gerçek Gezegen
K00001.01,2.470613377,1.74319,14230.9,13.04,5820.0,0.964,1339.0,4304.3,False,True,Gerçek Gezegen
K00002.01,2.204735417,3.88864,6674.7,16.1,6440.0,1.952,2048.0,5945.9,False,True,Gerçek Gezegen
K00010.01,3.522498429,3.19843,9145.7,14.59,6225.0,1.451,1521.0,1741.5,False,True,Gerçek Gezegen
K00112.02,3.709214104,2.6302,131.1,1.16,5833.0,1.022,1206.0,50.6,False,True,Gerçek Gezegen
K00742.01,11.521446064,3.6399,17984.3,150.51,5795.0,0.848,753.0,622.1,False,False,Yanlış Pozitif
K00743.01,19.40393776,12.2155,8918.7,7.18,5043.0,0.68,523.0,214.7,False,False,Yanlış Pozitif
